Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Megan Gustafson,LVA,C,38,405,38,405,12.7,.621,.604,.538,.160,6.8,10.4,3.5,1.6,1.0,11.0,14.5,114,103,,0.8,0.5,1.4,.134
Dearica Hamby,LAS,F,40,1346,40,1346,19.2,.566,.541,.168,.379,5.4,16.5,20.6,2.6,0.5,16.2,24.1,103,104,,1.9,1.5,3.4,.101
Isabelle Harrison,CHI,F,36,587,36,587,11.9,.450,.405,.076,.210,7.0,13.7,7.9,1.7,1.8,13.0,22.3,91,104,,-0.4,0.6,0.2,.016
Mikiah Herbert Harrigan,PHO,F,31,336,31,336,10.7,.522,.512,.612,.235,5.4,7.8,4.3,2.4,3.0,13.8,14.9,96,108,,0.0,0.2,0.2,.029
Tyasha Harris,CON,G,39,1125,39,1125,13.3,.546,.513,.446,.226,1.1,3.8,17.7,1.9,1.1,12.6,17.6,106,100,,1.6,2.0,3.6,.127
Tiffany Hayes,LVA,G,33,708,33,708,17.9,.609,.575,.373,.382,4.5,7.5,15.9,1.8,1.1,9.8,18.6,119,104,,2.3,0.9,3.2,.182
Destanni Henderson,ATL,G,6,105,6,105,4.0,.374,.362,.345,.241,0.0,6.5,24.1,1.0,0.9,23.8,18.1,72,106,,-0.3,0.1,-0.3,-0.096
Natisha Hiedeman,MIN,G,40,607,40,607,11.5,.469,.440,.427,.177,3.0,5.9,25.0,2.7,0.9,17.5,19.1,95,98,,0.0,1.2,1.2,.080
Naz Hillmon,ATL,F,40,868,40,868,14.3,.600,.555,.018,.387,8.2,12.7,10.2,1.7,1.2,16.6,11.9,115,103,,1.6,1.1,2.7,.126
Joyner Holmes,SEA,F,27,231,27,231,10.5,.477,.462,.397,.141,6.8,12.1,17.2,1.3,2.2,20.2,19.8,90,100,,-0.2,0.4,0.2,.034
Jordan Horston,SEA,F,39,871,39,871,13.5,.545,.522,.231,.191,6.1,11.0,12.3,2.9,2.6,21.3,15.6,97,97,,0.2,1.9,2.1,.096
Natasha Howard,DAL,F,27,825,27,825,18.1,.510,.470,.134,.302,7.5,13.1,17.0,2.1,2.2,14.1,28.1,100,112,,0.9,-0.1,0.8,.039
Rhyne Howard,ATL,G,30,1018,30,1018,17.6,.510,.460,.540,.298,2.7,7.3,17.8,2.8,1.7,9.1,24.9,103,102,,1.5,1.5,3.0,.119
Lexie Hull,IND,G,34,671,34,671,10.6,.604,.563,.515,.301,5.9,7.3,7.8,1.6,1.5,15.8,12.1,115,111,,1.2,0.0,1.2,.074
Sabrina Ionescu,NYL,G,38,1221,38,1221,19.5,.524,.482,.530,.194,2.7,8.0,33.6,1.6,0.9,13.6,28.1,106,101,,2.9,2.0,4.9,.160
Rickea Jackson,LAS,F,40,1152,40,1152,13.8,.547,.505,.282,.260,5.3,8.1,9.7,1.2,1.1,13.4,21.9,101,111,,1.0,0.1,1.1,.039
Brionna Jones,CON,F,40,1087,40,1087,21.2,.582,.542,.034,.355,9.6,12.6,10.5,2.2,2.0,9.8,22.2,115,96,,3.6,2.5,6.1,.223
Haley Jones,ATL,F-G,40,712,40,712,5.1,.465,.418,.192,.322,1.6,7.1,19.4,1.0,1.4,29.0,14.9,81,106,,-1.2,0.7,-0.6,-0.032
Jonquel Jones,NYL,C,39,1164,39,1164,21.5,.646,.616,.395,.272,6.8,17.4,18.3,1.3,3.7,17.7,20.1,116,95,,3.6,2.9,6.5,.224
Dorka Juhász,MIN,F,34,548,34,548,13.4,.530,.517,.236,.139,7.1,13.7,10.6,1.4,2.1,12.1,14.6,106,97,,0.6,1.2,1.9,.138
Ezinne Kalu,ATL,,1,13,1,13,3.4,.436,.333,.333,.333,0.0,4.4,0.0,4.0,0.0,0.0,12.0,97,101,,0.0,0.0,0.0,.072
Betnijah Laney,NYL,G-F,28,848,28,848,13.8,.575,.534,.388,.202,4.2,8.0,17.5,1.9,0.1,18.7,18.7,105,101,,1.2,1.4,2.6,.121
Lou Lopez Sénéchal,DAL,G,27,125,27,125,2.2,.350,.338,.441,.118,2.8,5.2,11.4,1.2,0.0,14.4,14.3,79,118,,-0.2,-0.1,-0.3,-0.109
Jewell Loyd,SEA,G,37,1246,37,1246,17.3,.497,.408,.346,.405,2.3,7.6,18.3,2.1,0.6,10.3,28.8,101,101,,1.6,1.9,3.6,.114
Natasha Mack,PHO,F,40,619,40,619,18.2,.578,.573,.024,.153,11.6,18.7,11.7,2.2,6.9,17.5,11.9,115,101,,1.2,1.0,2.2,.145
Ezi Magbegor,SEA,F-C,37,1136,37,1136,19.2,.578,.531,.158,.259,8.2,14.8,10.5,1.8,6.2,12.4,16.5,114,96,,2.7,2.7,5.4,.191
Kate Martin,LVA,G,34,392,34,392,6.4,.466,.432,.705,.136,1.8,7.9,10.9,0.9,1.7,18.4,13.4,88,104,,-0.3,0.4,0.2,.016
Kayla McBride,MIN,G,39,1237,39,1237,16.8,.611,.547,.623,.360,1.4,4.7,16.8,2.0,0.1,14.1,20.8,112,101,,3.2,2.1,5.2,.169
Teaira McCowan,DAL,C,39,987,39,987,20.5,.607,.571,.012,.384,13.2,19.0,10.3,1.8,3.0,17.1,19.8,113,111,,2.7,0.1,2.8,.115
Aari McDonald,LAS,G,26,568,26,568,13.8,.529,.479,.476,.267,2.5,5.5,29.9,2.0,0.9,18.4,20.5,101,110,,0.5,0.2,0.7,.049
Jade Melbourne,WAS,G,37,523,37,523,9.6,.530,.494,.337,.295,2.9,6.3,19.0,2.3,0.9,24.8,21.6,88,105,,-0.6,0.6,0.0,-0.004
Diamond Miller,MIN,F,21,213,21,213,3.1,.383,.341,.377,.348,5.1,10.1,9.4,1.7,0.4,19.3,21.4,74,99,,-0.7,0.4,-0.3,-0.057
Kelsey Mitchell,IND,G,40,1280,40,1280,18.2,.588,.559,.450,.188,2.5,4.5,9.9,1.1,0.5,8.9,24.9,112,114,,3.7,-0.5,3.2,.101
Tiffany Mitchell,CON,G,24,391,24,391,7.9,.457,.376,.220,.422,3.4,5.8,7.7,1.5,0.2,10.4,17.0,95,101,,0.0,0.6,0.6,.064
Nika Mühl,SEA,G,16,57,16,57,-3.2,.071,.071,.786,.000,11.8,10.0,16.3,1.8,0.0,22.2,13.9,51,104,,-0.3,0.1,-0.2,-0.162
Astou Ndour-Fall,CON,C-F,22,92,22,92,6.8,.436,.385,.385,.231,2.6,12.1,1.7,0.6,4.1,9.5,15.9,87,97,,-0.1,0.2,0.1,.053
Olivia Nelson-Ododa,CON,C,37,436,37,436,10.6,.534,.495,.000,.414,8.4,13.2,3.0,1.7,4.6,19.9,15.5,95,95,,0.0,1.1,1.1,.100
Kia Nurse,LAS,G,40,810,40,810,9.0,.525,.489,.608,.221,2.5,4.8,11.4,1.2,0.1,14.5,18.6,96,113,,0.1,-0.1,0.0,.001
Arike Ogunbowale,DAL,G,38,1466,38,1466,18.6,.520,.460,.444,.261,2.3,7.0,22.4,2.8,0.6,11.2,26.8,108,114,,3.7,-0.4,3.3,.089
Nneka Ogwumike,SEA,F,37,1178,37,1178,22.6,.578,.542,.150,.197,6.6,13.6,13.1,3.0,1.5,8.5,21.8,115,96,,3.7,2.7,6.4,.217
Michaela Onyenwere,CHI,F,34,636,34,636,8.4,.491,.474,.321,.193,3.2,5.5,8.6,1.5,1.7,15.7,18.8,91,108,,-0.3,0.3,0.0,.000
Charisma Osborne,PHO,G,2,10,2,10,-3.5,.500,.500,.000,.000,0.0,5.8,16.1,0.0,0.0,50.0,18.4,56,115,,-0.1,0.0,-0.1,-0.248
Cheyenne Parker,ATL,F,25,492,25,492,15.3,.530,.452,.075,.374,7.0,14.0,14.5,2.2,1.7,19.3,24.8,96,100,,0.0,0.8,0.9,.072
Alissa Pili,MIN,F,22,138,22,138,4.8,.532,.522,.600,.244,5.3,11.4,6.0,1.9,1.3,27.6,23.0,78,97,,-0.4,0.3,-0.1,-0.027
Kelsey Plum,LVA,G,38,1291,38,1291,15.2,.563,.523,.545,.217,0.9,4.4,20.9,1.0,0.1,13.4,24.8,104,107,,2.1,1.0,3.1,.095
Aerial Powers,ATL,G,17,304,17,304,14.3,.465,.406,.261,.312,5.5,10.5,15.0,2.7,1.2,10.3,26.0,96,101,,0.0,0.5,0.5,.068
Angel Reese,CHI,F,34,1104,34,1104,17.6,.464,.395,.038,.425,16.9,23.0,9.6,2.0,1.3,13.1,22.7,101,102,,1.1,1.6,2.7,.098
